,N.º,Título,Compositor(es),Local,Duração,
0,1.,"""Supera""",Hugo del VecchioMontenegroMouraTunico,Manaus,2:27,
1,2.,"""Abandono de Incapaz""",MatosFerrazPiresRafael QuadrosAntonioNeto,Aracaju,2:39,
2,3.,"""Intenção"" (part. Gaab)",MarcusTchulaSilvaRenato Campeiro,Brasília,3:22,
