,N.º,Título,Compositor(es),Local,Duração,
0,1.,"""Todo Mundo Vai Sofrer""",Diego SilveiraGomesLari FerreiraPoeta,Boa Vista,2:34,
1,2.,"""Serenata""",FerrariMatosFerrazPiresAntonioNeto,Teresina,2:36,
2,3.,"""Apaixonadinha"" (part. Léo Santana e Didá Banda Feminina)",Filipe EscandurrasRafinha RSQ,Salvador,3:00,
